0,3297,660,6808
1,5907,1220,5949
2,7267,2871,9090
3,7003,6197,10044
4,6331,8182,9942
5,5172,8773,9354
6,4368,8032,8400
7,4297,6766,8124
8,4622,5861,7296
9,4944,5922,6985
10,4879,6487,6033
11,5500,7244,4855
12,5695,6606,4027
13,5188,5479,3489
14,4693,4839,3188
15,4056,4480,2696
16,3830,4331,2399
17,3359,3555,2225
18,3125,3013,1933
19,3257,2724,1764
20,2924,2510,1636
21,2629,2230,1510
22,2506,2029,1434
23,2294,1989,1435
24,2415,1974,1333
25,2265,1829,1459
26,2198,1999,1416
27,2237,1924,1499
28,2237,1906,1532
29,2382,1980,1549
30,2259,2007,1576
31,2146,1981,1624
32,2080,1961,1652
33,2028,1898,1592
34,1879,1866,1620
35,1788,1792,1528
36,1676,1674,1534
37,1601,1655,1526
38,1501,1653,1437
39,1395,1485,1291
40,1370,1381,1322
41,1297,1267,1152
42,1296,1183,1121
43,1225,1172,1125
44,1120,1105,1007
45,1168,1084,978
46,1105,1037,984
47,1020,1012,935
48,945,935,987
49,887,936,863
50,859,879,872
51,766,898,830
52,817,785,829
53,772,766,790
54,740,718,791
55,708,694,718
56,658,671,676
57,660,646,653
58,647,613,658
59,682,616,574
60,608,565,587
61,556,552,517
62,591,509,523
63,494,559,547
64,509,506,506
65,497,532,501
66,472,463,474
67,446,476,460
68,466,429,440
69,445,437,427
70,437,380,435
71,402,415,367
72,383,401,395
73,377,390,363
74,331,376,350
75,366,424,373
76,434,431,390
77,446,392,419
78,458,414,440
79,413,397,395
80,379,398,393
81,417,383,335
82,370,360,338
83,354,362,345
84,340,305,343
85,322,308,306
86,299,337,308
87,321,327,304
88,285,290,321
89,292,311,316
90,316,300,312
91,284,299,313
92,291,293,298
93,280,272,265
94,309,235,275
95,261,240,251
96,249,230,277
97,275,244,227
98,241,235,253
99,257,237,244
100,271,203,243
101,229,232,219
102,217,199,216
103,220,168,232
104,232,217,193
105,233,205,235
106,208,183,241
107,212,187,218
108,172,189,212
109,202,180,212
110,194,177,218
111,204,168,194
112,221,164,216
113,180,195,234
114,162,193,201
115,189,171,211
116,172,180,219
117,181,203,216
118,207,163,208
119,162,168,203
120,150,173,213
121,159,178,233
122,161,179,219
123,175,170,237
124,166,154,236
125,170,166,232
126,168,178,268
127,149,163,247
128,178,186,218
129,176,198,259
130,193,179,232
131,179,193,248
132,188,194,238
133,202,209,225
134,204,202,229
135,210,221,250
136,191,180,257
137,196,216,262
138,195,191,236
139,190,189,232
140,204,206,203
141,188,226,252
142,180,202,249
143,203,199,239
144,185,201,263
145,200,219,236
146,206,202,280
147,194,230,241
148,223,222,250
149,223,219,291
150,203,229,283
151,216,220,240
152,183,220,282
153,209,212,261
154,231,227,267
155,230,248,269
156,257,247,266
157,233,260,271
158,220,243,277
159,241,265,260
160,233,223,269
161,277,254,252
162,256,269,293
163,236,319,274
164,263,273,268
165,244,299,306
166,266,296,258
167,258,285,296
168,286,311,287
169,273,333,338
170,302,335,284
171,306,280,262
172,294,293,297
173,324,320,291
174,314,352,328
175,325,365,330
176,326,329,296
177,355,356,312
178,368,373,333
179,373,385,364
180,441,395,292
181,520,440,362
182,482,466,369
183,458,447,350
184,427,490,354
185,401,497,387
186,413,465,423
187,390,460,445
188,393,441,452
189,451,424,432
190,398,406,431
191,376,420,370
192,436,424,383
193,425,388,360
194,422,425,373
195,379,428,362
196,404,443,349
197,395,408,361
198,410,460,384
199,432,431,344
200,375,423,341
201,438,408,337
202,395,388,347
203,394,399,322
204,428,358,329
205,412,361,350
206,418,407,342
207,375,380,332
208,364,356,316
209,347,383,315
210,376,356,293
211,345,336,286
212,384,317,276
213,369,321,297
214,361,335,274
215,359,316,271
216,359,331,236
217,331,297,298
218,341,308,233
219,332,295,267
220,319,304,252
221,334,277,235
222,345,279,253
223,326,278,257
224,346,278,205
225,302,277,227
226,298,284,227
227,304,245,244
228,300,269,240
229,264,247,216
230,305,238,214
231,282,259,207
232,278,249,188
233,279,254,189
234,266,245,202
235,239,267,163
236,254,216,207
237,246,233,167
238,277,209,175
239,253,200,201
240,262,232,197
241,215,212,197
242,216,190,180
243,228,231,186
244,234,171,182
245,229,163,178
246,236,204,188
247,230,184,183
248,228,225,188
249,262,229,167
250,309,258,213
251,380,330,256
252,484,374,222
253,669,462,355
254,962,912,702
255,6062,5475,4680
